product name,color,description,url,time,price,currency,size,region,category
Palazzo High Heel Booties,gold,These high heeled booties are a timeless day-to-dark style.,https://www.versace.com/us/en-us/women/shoes/boots-booties/palazzo-high-heel-booties-d41o/DSR046N-DVT2P_D41O.html?cgid=131300,2020-04-05 19:43:09.069774,"$1,250",USD,"35,35.5",us,"women,shoes,boots-booties"
Medusa Western Mules,black,"Crafted in supple calf leather, these pointed toe, mid-heel mules feature a reinforced, gold-tone pointed toe enriched with a Medusa stud. T",https://www.versace.com/us/en-us/women/shoes/flats/medusa-western-mules-d41oh/DST198I-DVTA3_D41OH.html?cgid=131200,2020-04-05 19:43:09.094076,"$1,625",USD,"37,38,39",us,"women,shoes,flats"
Virtus Small Handbag,"brown,black,pink","Debuting on the Fall-Winter 2019 runway, the Virtus bag takes its name from the Roman deity and symbolizes strength, courage, and character.",https://www.versace.com/us/en-us/women/bags/shoulder-bags/virtus-small-handbag-k2ktp/DBFH211-D5VIT_DTU_UNICA_K2KTP__.html?cgid=142200,2020-04-05 19:43:09.223804,"$1,425",USD,one-size,us,"women,bags,shoulder-bags"
Graphic Neckline Mini Dress,black,"Crafted from viscose cady, this tailored dress was seen on the Spring-Summer 2020 runway. The graphic neckline in inspired by the House's ri",https://www.versace.com/us/en-us/women/clothing/dresses/graphic-neckline-mini-dress-a1008/A86558-A213159_A1008.html?cgid=120100,2020-04-05 19:43:09.344447,"$1,925",USD,"38,40,42",us,"women,clothing,dresses"
Medusa Western Belt,black,"Inspired by the American West, this supple calf leather belt is enriched with hardware depicting heritage hardware.",https://www.versace.com/us/en-us/women/accessories/belts/medusa-western-belt-k41ot/DCDH347-DV6T_K41OT.html?cgid=141200,2020-04-05 19:43:09.360325,"$2,475",USD,"75,90",us,"women,accessories,belts"
Virtus Shoulder Bag,"red,brown,white,black,pink","Debuting on the Fall-Winter 2019 runway, the Virtus bag takes its name from the Roman deity and symbolizes strength, courage, and charact",https://www.versace.com/us/en-us/women/bags/shoulder-bags/virtus-shoulder-bag-dzrtp/DBFG985-D5VIT_DTU_UNICA_DZRTP__.html?cgid=142200,2020-04-05 19:43:09.465784,"$1,895",USD,one-size,us,"women,bags,shoulder-bags"
Virtus Cross-Body Bag,brown,"Debuting on the Fall-Winter 2019 runway, the Virtus bag takes its name from the Roman deity and symbolizes strength, courage, and character.",https://www.versace.com/us/en-us/women/bags/shoulder-bags/virtus-cross-body-bag-k2ktp/DBFG983-D5VIT_DTU_UNICA_K2KTP__.html?cgid=142200,2020-04-05 19:43:09.482453,"$1,850",USD,one-size,us,"women,bags,shoulder-bags"
Barocco Rodeo Print Mini Dress,print,"The design features a central Baroque letter V surrounded by western motifs, buckles, stars and gold tone Barocco elements.",https://www.versace.com/us/en-us/women/clothing/dresses/barocco-rodeo-print-mini-dress-a7008/A85337-A233265_A7008.html?cgid=120100,2020-04-05 19:43:09.507745,"$2,450",USD,"38,40,42",us,"women,clothing,dresses"
Oval Medusa Belt,black,This supple leather belt features an oval Medusa buckle. The belt is enriched with a metal loop to add a finishing touch with one of the sea,https://www.versace.com/us/en-us/women/accessories/belts/oval-medusa-belt-k41ot/DCDH348-DV3T_K41OT.html?cgid=141200,2020-04-05 19:43:09.563172,$525,USD,"65,70,75,80,85,90,95,100",us,"women,accessories,belts"
Squalo Knit Sneakers,print,"The new iteration of the shark-inspired sneakers, the Squalo knit feature emblematic outsole silhouette and hidden Medusa detail. The sneake",https://www.versace.com/us/en-us/women/shoes/sneakers/squalo-knit-sneakers-dwnf/DST226G-DCL4_DWNF.html?cgid=131500,2020-04-05 19:43:09.639748,$995,USD,"35,35.5,36,36.5,37,37.5,38,38.5,39,39.5,40,40.5,41",us,"women,shoes,sneakers"
V Barocco Print Belt Bag,print,"A statement style, this belt bag boasts the V Barocco print. The bag features front zip closure enriched with a Medusa medallion zip pull.",https://www.versace.com/us/en-us/women/bags/backpacks-belt-bags/v-barocco-print-belt-bag-dnmot/DV3G474-D4NSB_DTU_UNICA_DNMOT__.html?cgid=142600,2020-04-05 19:43:09.655207,$725,USD,one-size,us,"women,bags,backpacks-belt-bags"
Squalo Knit Sneakers,print,"The new iteration of the shark-inspired sneakers, the Squalo knit feature emblematic outsole silhouette and hidden Medusa detail. The sneake",https://www.versace.com/us/en-us/women/shoes/squalo-sneakers/squalo-knit-sneakers-dwnf/DST226G-DCL4_DWNF.html?cgid=131800,2020-04-05 19:43:09.672847,$995,USD,"35,35.5,36,36.5,37,37.5,38,38.5,39,39.5,40,40.5,41",us,"women,shoes,squalo-sneakers"
Barocco Rodeo Print Palazzo Backpack,print,This backpack from the Palazzo line is embellished with a three-dimensional Medusa plaque on the external pouch and boasts the all-over Baro,https://www.versace.com/us/en-us/women/bags/backpacks-belt-bags/barocco-rodeo-print-palazzo-backpack-dnm1t/DBFF360-D2NSC_DTU_UNICA_DNM1T__.html?cgid=142600,2020-04-05 19:43:09.808007,"$1,150",USD,one-size,us,"women,bags,backpacks-belt-bags"
Virtus Belt Bag,"red,white,black","Debuting on the Fall-Winter 2019 runway, the Virtus bag takes its name from the Roman deity and symbolizes strength, courage, and charact",https://www.versace.com/us/en-us/women/bags/backpacks-belt-bags/virtus-belt-bag-k0aot/DV3G984-D5VIT_DTU_UNICA_K0AOT__.html?cgid=142600,2020-04-05 19:43:09.821556,"$1,175",USD,one-size,us,"women,bags,backpacks-belt-bags"
Safety Pin Leather Hat,black,Leather hat featuring the distinctive Versace design icon - the Safety Pin on the front side.,https://www.versace.com/us/en-us/women/accessories/hats-gloves/safety-pin-leather-hat-i008/ICAP009-IP00088_I008.html?cgid=141400,2020-04-05 19:43:09.836777,$695,USD,"S,M,L,XL",us,"women,accessories,hats-gloves"
Studded Medusa Cap,Black/Gold,"An emblematic accessory, this cap is enriched with a studded Medusa motif.",https://www.versace.com/us/en-us/women/accessories/hats-gloves/studded-medusa-cap-a4007/ICAP004-A234769_A4007.html?cgid=141400,2020-04-05 19:43:09.861816,$525,USD,"S,M,L",us,"women,accessories,hats-gloves"
Icon Western Clutch Bag,"black,red+gold","The elegant Icon clutch bag is revisited in a Western tone. The supple calf leather bag is enriched with all-over studwork, star and horsesh",https://www.versace.com/us/en-us/women/bags/icon-bag/icon-western-clutch-bag-khrot/DBSG322-D6VBC_DTU_UNICA_KHROT__.html?cgid=142700,2020-04-05 19:43:09.878765,"$1,925",USD,one-size,us,"women,bags,icon-bag"
Icon Pouch,pink,"Soft calf leather pouch embellished by gold tone Medusa hardware. Features top zip closure, multiple internal compartments and a removable w",https://www.versace.com/us/en-us/women/bags/icon-bag/icon-pouch-d6sot/DP8F786G-D3VIT_DTU_UNICA_D6SOT__.html?cgid=142700,2020-04-05 19:43:09.912323,$975,USD,one-size,us,"women,bags,icon-bag"
Quilted Icon Evening Bag,black,"Crafted in supple nappa leather, this quilted bag is embellished by a Medusa medallion. Features magnetic flap over closure, an internal poc",https://www.versace.com/us/en-us/women/bags/icon-bag/quilted-icon-evening-bag-k41ot/DBFG966-DNATR2_DTU_UNICA_K41OT__.html?cgid=142700,2020-04-05 19:43:10.029070,$875,USD,one-size,us,"women,bags,icon-bag"
Medium Icon Shoulder Bag,black,"The iconic Versace bag, a timeless style crafted in exceptional quality leather. Featuring a flap-over closure with round Medusa medallio",https://www.versace.com/us/en-us/women/bags/icon-bag/medium-icon-shoulder-bag-k41ot/DBFG303-DV2T_DTU_UNICA_K41OT__.html?cgid=142700,2020-04-05 19:43:10.117875,"$1,995",USD,one-size,us,"women,bags,icon-bag"
Medium Barocco Icon Shoulder Bag,print,"The iconic Versace bag, a timeless style crafted in supple leather with the classic Versace Baroque print from the FW 1991 collection. A pur",https://www.versace.com/us/en-us/women/bags/icon-bag/medium-barocco-icon-shoulder-bag-k4mct/DBFG303-DV1BAR_DTU_UNICA_K4MCT__.html?cgid=142700,2020-04-05 19:43:10.162572,"$2,325",USD,one-size,us,"women,bags,icon-bag"
Large Quilted Icon Shoulder Bag,white,Finely quilted leather characterizes this Icon shoulder style that takes you from day to night seamlessly. An accessory that gives the true,https://www.versace.com/us/en-us/women/bags/icon-bag/large-quilted-icon-shoulder-bag-k06ot/DBFG477-DNATR2_DTU_UNICA_K06OT__.html?cgid=142700,2020-04-05 19:43:10.178532,"$2,425",USD,one-size,us,"women,bags,icon-bag"
Small Icon Shoulder Bag,black,"The iconic Versace bag, a timeless style crafted in supple leather bag crafted in exceptional quality leather. Featuring a flap-over closure",https://www.versace.com/us/en-us/women/bags/icon-bag/small-icon-shoulder-bag-k41ot/DBFG305-DV2T_DTU_UNICA_K41OT__.html?cgid=142700,2020-04-05 19:43:10.192719,"$1,825",USD,one-size,us,"women,bags,icon-bag"
Jungle Print Silk Foulard,"print,print","Silk twill foulard in the Jungle print, famously reprised on the Spring-Summer 2020 runway. The new iteration overlays a darker toned tie-dy",https://www.versace.com/us/en-us/women/accessories/foulards-scarves/jungle-print-silk-foulard-a7488/IFO9001-A234780_AS6_UNIC_A7488__.html?cgid=141100,2020-04-05 19:43:10.204489,$450,USD,one-size,us,"women,accessories,foulards-scarves"
